created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Oct 25 15:26:30 +0000 2023;1717200973620474338;"Berkunjung ke Sumatra Barat hari ini, saya datang ke Gudang Bulog Baru Rawang Timur, Kota Padang untuk mengecek persediaan beras di sana.  Sebetulnya, Provinsi Sumatra Barat ini surplus beras. Akan tetapi, meski produksi beras surplus, yang namanya cadangan beras itu harus ada.… https://t.co/YM4YvLtNFZ";6;73;52;366;in;366987179;1717200973620474338;jokowi;https://twitter.com/jokowi/status/1717200973620474338
Wed Oct 25 15:22:22 +0000 2023;1717199931579277448;"Setiap kunjungan ke daerah, saya berusaha untuk singgah melihat satu atau dua sekolah, terutama Sekolah Menengah Kejuruan. Mengapa ke SMK?  Karena di situlah sebetulnya bisa kita lihat keterampilan siswa-siswa diasah.  Seperti hari ini, dalam kunjungan ke Sumatra Barat, saya… https://t.co/07qlrlmb7n";9;72;56;443;in;366987179;1717199931579277448;jokowi;https://twitter.com/jokowi/status/1717199931579277448
Wed Oct 25 15:18:06 +0000 2023;1717198858458181972;"Suasana Pasar Ibu di Kabupaten Kepulauan Mentawai, Sumatra Barat, siang tadi tampak ramai saat saya datang. Saya berkeliling pasar, menyapa para pedagang sekaligus mengecek harga-harga bahan pangan, juga membagikan bantuan sosial. https://t.co/Ng4EEseRxd";4;45;48;336;in;366987179;1717198858458181972;jokowi;https://twitter.com/jokowi/status/1717198858458181972
Wed Oct 25 11:30:59 +0000 2023;1717141704342695940;"Meresmikan Bandar Udara Mentawai di Kabupaten Kepulauan Mentawai, Sumatra Barat, siang ini.  Bandara Mentawai merupakan salah satu bandara terluar di Tanah Air. Bandara ini akan menggantikan  Bandara Rokot Sipora.   Bandara Rokot Siporo hanya bisa didarati pesawat berkapasitas 12… https://t.co/pwzKCdo32S";14;217;204;1587;in;366987179;1717141704342695940;jokowi;https://twitter.com/jokowi/status/1717141704342695940
Wed Oct 25 08:04:00 +0000 2023;1717089612517245109;"Mendarat di Bandara Internasional Minangkabau, Kabupaten Padang Pariaman, siang ini, untuk kunjungan kerja di Provinsi Sumatra Barat.   Di Sumbar, saya antara lain akan meresmikan Bandara Mentawai di Kab. Kepulauan Mentawai, meninjau persediaan beras di Gudang Bulog Rawang Timur,… https://t.co/lUmtp1oBg1";31;473;223;1886;in;366987179;1717089612517245109;jokowi;https://twitter.com/jokowi/status/1717089612517245109
Wed Oct 25 07:59:51 +0000 2023;1717088568122937683;"Selamat bertugas Letnan Jenderal TNI Agus Subiyanto sebagai Kepala Staf TNI Angkatan Darat. https://t.co/e6M8ls4eJi";16;142;217;2339;in;366987179;1717088568122937683;jokowi;https://twitter.com/jokowi/status/1717088568122937683
Wed Oct 25 06:35:37 +0000 2023;1717067370987192561;"Selamat bekerja Bapak Andi Amran Sulaiman, Menteri Pertanian pada Kabinet Indonesia Maju dalam sisa masa jabatan periode 2019-2024. https://t.co/q5EksEvt9K";53;325;266;2984;in;366987179;1717067370987192561;jokowi;https://twitter.com/jokowi/status/1717067370987192561
Tue Oct 24 09:32:15 +0000 2023;1716749433180962951;"Kunci dari keberlanjutan pembangunan Indonesia yaitu dengan memastikan implementasi dari peta jalan yang telah disusun berjalan baik. Peta jalan itu sudah jelas, tinggal mengawal implementasi di lapangan.  Pada acara Investor Daily Summit 2023 di Hutan Kota by Plataran, Senayan,… https://t.co/BrVG2XMv27";53;843;351;3114;in;366987179;1716749433180962951;jokowi;https://twitter.com/jokowi/status/1716749433180962951
Mon Oct 23 06:05:42 +0000 2023;1716335065243009343;"Menerima surat kepercayaan dari 12 duta besar luar biasa dan berkuasa penuh (LBBP) negara-negara sahabat, hari ini di Ruang Kredensial, Istana Merdeka.  Para duta besar tersebut berasal dari negara-negara sahabat yaitu India, Brazil, Swedia, Britania Raya dan Irlandia Utara,… https://t.co/6XzQxNY98i";32;872;410;3902;in;366987179;1716335065243009343;jokowi;https://twitter.com/jokowi/status/1716335065243009343
Sun Oct 22 10:31:02 +0000 2023;1716039453243027871;"Dua rumah sakit TNI di Kota Surabaya, Jawa Timur kini sudah siap untuk dimanfaatkan. Rumah Sakit Tk.III Brawijaya dan Rumah Sakit Angkatan Laut Tk.II dr. Soekantyo Jahja tersebut saya resmikan hari ini dalam kunjungan ke Jawa Timur.   Penambahan fasilitas kesehatan ini sangat… https://t.co/tDqDkHAVgc";28;638;359;3430;in;366987179;1716039453243027871;jokowi;https://twitter.com/jokowi/status/1716039453243027871
Sun Oct 22 10:30:00 +0000 2023;1716039194106310802;"Satu abad Nahdlatul Ulama tahun ini diperingati salah satunya dengan pembangunan gedung setinggi 13 lantai, yakni Tower Rumah Sakit Islam Surabaya A. Yani di Kota Surabaya.   Saya meresmikan tower tersebut siang ini dengan harapan agar dapat meningkatkan kualitas pelayanan rumah… https://t.co/sBZVrF8OGS";17;263;284;2444;in;366987179;1716039194106310802;jokowi;https://twitter.com/jokowi/status/1716039194106310802
Sun Oct 22 08:20:34 +0000 2023;1716006619191148709;"Selamat bertugas dan selamat bekerja kepada Ketua Umum dan seluruh jajaran Pagar Nusa masa khidmat 2023-2028 yang dikukuhkan hari ini.   Mari saling menjaga dan mendamaikan serta menjaga persatuan antarmasyarakat di Tanah Air. https://t.co/cVswlQ4LVr";21;213;270;2148;in;366987179;1716006619191148709;jokowi;https://twitter.com/jokowi/status/1716006619191148709
Sun Oct 22 08:19:08 +0000 2023;1716006260020220203;"Apel Hari Santri tahun ini digelar di pelataran Monumen Tugu Pahlawan, Kota Surabaya.   Hari santri kita peringati merujuk kepada resolusi jihad yang disampaikan oleh Kiai Haji Hasyim Asyari, Rais Akbar Nahdlatul Ulama pada masa kemerdekaan Indonesia. Semangat hari santri ini… https://t.co/JbjLA1StmH";13;286;317;2505;in;366987179;1716006260020220203;jokowi;https://twitter.com/jokowi/status/1716006260020220203
Sun Oct 22 01:01:19 +0000 2023;1715896076824400309;"Indonesia telah melalui berbagai onak dan duri dalam perjalanan sejarahnya, semenjak masa perjuangan, kemerdekaan, hingga pembangunan. Dan sekarang, Indonesia mengejar kemajuan untuk memenangkan persaingan yang ketat dengan bangsa-bangsa lain.   Bersama para santri yang setia… https://t.co/wYZN4LY0Rg";62;856;768;6516;in;366987179;1715896076824400309;jokowi;https://twitter.com/jokowi/status/1715896076824400309
